node_id,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,altitude,temperature,photo,state_flags
BBB9,0,2,100,28,0,-25,152,-800,-1906,1810,2856,23,7
BBB9,0,2,100,115,36,71,163,-814,-1927,1805,2858,13,7
BBB9,0,3,100,-50,-35,-17,161,-809,-1901,1809,2837,14,15
BBB9,-1,2,100,67,-22,22,144,-824,-1923,1809,2837,14,15
BBB9,0,2,101,-48,-23,24,152,-825,-1923,1812,2837,14,15
BBB9,0,2,100,0,6,63,155,-813,-1935,1801,2837,15,15
BBB9,0,3,101,-13,10,28,155,-800,-1914,1807,2837,16,15
BBB9,0,3,101,131,-22,57,161,-809,-1910,1804,2837,17,15
BBB9,0,2,100,-41,-33,-93,157,-811,-1926,1804,2837,17,15
BBB9,0,1,100,-25,106,73,149,-823,-1930,1802,2837,16,15
BBB9,0,2,100,16,-61,-41,160,-823,-1930,1810,2837,17,15
BBB9,0,4,100,-1,63,40,148,-827,-1933,1806,2837,18,15
BBB9,0,2,100,-3,-35,173,151,-807,-1927,1808,2837,18,15
BBB9,0,1,100,-39,-118,51,155,-823,-1926,1810,2837,18,15
BBB9,0,2,99,-61,96,39,153,-815,-1919,1809,2837,17,15
BBB9,0,3,100,-8,48,48,152,-830,-1929,1802,2837,18,15
BBB9,0,2,100,-5,33,140,168,-827,-1926,1794,2837,18,15
BBB9,-1,2,100,-22,86,4,161,-817,-1916,1795,2837,18,15
BBB9,0,2,100,56,53,109,156,-805,-1891,1802,2837,19,15
BBB9,0,2,100,105,-78,23,165,-814,-1912,1804,2837,18,15
BBB9,0,2,101,99,67,12,151,-818,-1907,1800,2837,19,15
BBB9,0,2,100,35,12,-66,162,-820,-1922,1807,2837,19,15
BBB9,0,3,99,-16,-128,64,153,-816,-1923,1802,2837,18,15
BBB9,0,2,100,-76,62,-65,146,-824,-1926,1812,2837,18,15
BBB9,-1,3,100,-2,-22,60,168,-820,-1916,1805,2837,19,15
BBB9,0,2,99,3,73,28,150,-819,-1909,1798,2837,18,15
BBB9,0,3,101,51,-23,30,166,-810,-1914,1804,2837,18,15
BBB9,-1,2,101,-9,-12,4,167,-807,-1914,1793,2837,19,15
BBB9,0,1,101,40,11,15,157,-819,-1926,1799,2837,20,15
BBB9,0,2,101,88,-46,-6,155,-811,-1933,1795,2837,20,15
BBB9,0,1,100,131,61,78,155,-800,-1916,1795,2837,19,15
BBB9,0,2,100,14,-26,86,158,-823,-1904,1793,2837,20,15
BBB9,0,1,100,4,22,-70,162,-812,-1904,1790,2837,20,15
BBB9,0,2,100,-35,-6,-13,154,-810,-1905,1792,2837,20,15
BBB9,0,1,100,49,47,12,154,-808,-1908,1794,2837,20,15
BBB9,0,2,100,19,57,23,159,-808,-1912,1797,2837,20,15
BBB9,0,3,100,13,12,-15,159,-819,-1915,1798,2837,20,15
BBB9,0,2,100,61,6,10,164,-811,-1936,1793,2837,20,15
BBB9,-1,2,101,27,-2,70,162,-816,-1911,1796,2837,20,15
BBB9,0,2,100,-75,-83,-32,158,-814,-1919,1801,2837,20,15
BBB9,0,2,100,41,-6,10,164,-816,-1926,1797,2837,20,15
BBB9,0,2,100,3,-22,-60,151,-815,-1922,1797,2837,20,15
BBB9,0,1,100,-99,-9,-70,160,-808,-1922,1798,2837,20,15
BBB9,-4,5,103,-48,-42,-114,154,-812,-1935,1802,2837,20,15
BBB9,0,2,100,-6,-25,3,149,-813,-1938,1797,2837,20,15
BBB9,0,1,100,170,133,31,163,-805,-1915,1790,2837,21,15
BBB9,0,1,100,-48,-156,28,165,-816,-1913,1793,2837,20,15
BBB9,0,2,100,113,26,86,159,-811,-1925,1791,2837,20,15
BBB9,0,5,102,-48,-34,-111,163,-807,-1928,1795,2837,21,15
BBB9,0,2,100,18,16,-38,154,-818,-1922,1794,2837,23,15
BBB9,0,2,100,-34,-33,-106,167,-827,-1915,1787,2837,24,15
BBB9,0,3,100,12,-28,57,152,-819,-1927,1790,2837,20,15
BBB9,0,3,100,26,10,-50,166,-824,-1916,1795,2837,21,15
BBB9,0,2,101,46,-45,15,158,-802,-1905,1798,2837,21,15
BBB9,0,2,100,-10,56,-51,151,-824,-1922,1785,2837,25,15
BBB9,0,3,100,-64,41,48,158,-818,-1913,1788,2837,20,15
BBB9,0,2,100,-35,-64,-50,164,-814,-1910,1786,2837,76,15
BBB9,-1,2,101,-6,57,-1,157,-813,-1929,1790,2837,22,15
BBB9,0,2,100,-6,36,-59,150,-822,-1910,1796,2837,21,15
BBB9,0,3,101,33,-75,14,155,-820,-1917,1783,2837,25,15
BBB9,0,2,100,51,-39,9,167,-820,-1932,1793,2837,21,15
BBB9,0,3,100,125,-5,-14,169,-824,-1919,1788,2837,21,15
BBB9,0,2,101,-26,-52,57,127,-809,-1899,1786,2837,78,15
BBB9,0,3,100,-21,1,53,143,-807,-1931,1788,2837,94,15
BBB9,0,2,100,-45,-71,50,158,-819,-1905,1785,2837,21,15
BBB9,0,2,100,42,-1,22,156,-809,-1919,1784,2837,21,15
BBB9,0,2,100,45,57,-34,150,-815,-1918,1785,2837,20,15
BBB9,0,2,99,64,-8,-67,148,-809,-1905,1790,2837,22,15
BBB9,0,1,100,91,35,44,167,-816,-1921,1796,2837,21,15
BBB9,0,2,100,6,-64,50,149,-821,-1923,1784,2837,21,15
BBB9,0,3,101,-59,-2,44,155,-814,-1909,1784,2837,16,15
BBB9,0,2,100,74,19,-45,150,-835,-1913,1786,2837,21,15
BBB9,0,2,100,68,-7,112,150,-811,-1930,1778,2837,21,15
BBB9,0,1,100,11,-29,16,153,-830,-1930,1774,2837,21,15
BBB9,0,1,100,56,-38,-18,159,-821,-1926,1779,2837,21,15
BBB9,0,2,100,39,-47,3,125,-808,-1882,1787,2837,33,15
BBB9,0,2,100,-28,73,29,158,-813,-1917,1784,2837,22,15
BBB9,0,1,100,138,63,35,167,-816,-1916,1786,2837,21,15
BBB9,0,2,100,28,-27,53,162,-818,-1914,1782,2837,20,15
BBB9,0,2,100,5,-6,38,161,-818,-1911,1786,2837,21,15
BBB9,0,1,100,-47,-25,78,161,-822,-1926,1788,2837,22,15
BBB9,0,2,100,75,-36,51,158,-809,-1894,1784,2837,22,15
BBB9,0,2,99,68,26,-42,162,-810,-1915,1779,2837,21,15
BBB9,0,2,101,74,-8,-67,161,-839,-1907,1784,2837,20,15
BBB9,0,2,100,-51,-99,-47,169,-821,-1905,1774,2837,16,15
BBB9,0,3,100,14,-74,96,154,-845,-1888,1784,2837,13,15
BBB9,0,2,100,20,19,51,161,-831,-1910,1783,2908,18,7
BBB9,0,2,101,76,-28,112,165,-823,-1898,1782,2909,18,7
BBB9,0,3,100,-32,-26,-107,163,-828,-1888,1775,2909,19,7
BBB9,0,2,100,-3,74,44,150,-814,-1903,1781,2837,18,15
BBB9,0,2,101,-80,56,-112,158,-824,-1904,1779,2837,20,15
BBB9,0,2,100,24,33,-28,159,-829,-1893,1764,2837,19,15
BBB9,0,2,101,61,-7,-6,145,-821,-1885,1777,2837,20,15
BBB9,0,2,100,77,23,157,161,-819,-1907,1768,2837,20,15
BBB9,0,2,100,24,69,-17,162,-814,-1899,1779,2837,20,15
BBB9,0,2,98,-5,-97,93,141,-841,-1911,1785,2837,20,15
BBB9,0,2,100,109,12,16,153,-815,-1892,1782,2837,20,15
BBB9,0,2,100,-14,13,-6,170,-828,-1889,1776,2837,20,15
BBB9,0,2,100,29,72,51,157,-817,-1898,1775,2837,20,15
BBB9,0,2,100,20,9,-13,158,-810,-1903,1777,2837,20,15
BBB9,0,2,100,93,94,33,163,-806,-1857,1777,2837,57,15
BBB9,0,1,100,57,12,-51,204,-850,-1921,1781,2837,18,15
BBB9,0,2,99,-13,38,112,185,-875,-1855,1781,2837,14,15
BBB9,0,2,100,11,6,-71,183,-840,-1876,1775,2837,13,15
BBB9,0,2,100,-136,-85,26,173,-828,-1892,1776,2837,14,15
BBB9,-1,2,100,17,-25,90,175,-835,-1894,1774,2837,12,15
BBB9,0,2,100,70,42,-86,181,-830,-1897,1775,2837,11,15
BBB9,0,2,101,-66,42,12,174,-842,-1878,1778,2837,12,15
BBB9,0,2,101,38,-96,12,185,-836,-1897,1764,2837,11,15
BBB9,0,2,100,46,-52,96,176,-833,-1897,1769,2837,76,15
BBB9,0,2,100,96,-73,81,189,-831,-1875,1768,2837,10,15
BBB9,0,2,100,84,-12,48,185,-834,-1884,1772,2837,10,15
BBB9,0,2,100,9,36,-56,179,-832,-1897,1765,2837,12,15
BBB9,0,3,100,-6,-94,45,185,-826,-1884,1772,2837,10,15
BBB9,0,2,100,-15,-15,-118,188,-838,-1891,1766,2837,10,15
BBB9,0,2,100,110,25,-8,183,-822,-1892,1766,2837,11,15
BBB9,0,1,100,62,-31,52,185,-832,-1897,1773,2837,9,15
BBB9,0,2,100,55,-63,50,167,-842,-1909,1768,2837,11,15
BBB9,0,2,100,59,-48,168,175,-828,-1880,1766,2837,13,15
BBB9,0,2,100,75,-64,70,189,-837,-1881,1770,2837,10,15
BBB9,-1,2,100,1,-57,7,181,-834,-1887,1769,2837,8,15
BBB9,0,2,100,6,60,170,180,-832,-1893,1774,2837,9,15
BBB9,0,2,100,-30,-106,19,182,-838,-1903,1766,2837,10,15
